"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","6.90","6.90","7.04","6.90","6.17K","-0.29%"
"12/30/2025","6.92","6.90","6.92","6.90","0.14K","0.29%"
"12/29/2025","6.90","6.96","7.06","6.88","106.47K","-0.86%"
"12/24/2025","6.96","6.78","6.96","6.78","15.00K","1.46%"
"12/23/2025","6.86","6.50","6.90","6.50","86.34K","5.54%"
"12/22/2025","6.50","6.40","6.50","6.36","14.95K","1.88%"
"12/19/2025","6.38","6.20","6.38","6.20","89.38K","2.90%"
"12/18/2025","6.20","6.26","6.26","6.16","96.71K","-0.96%"
"12/17/2025","6.26","6.18","6.38","6.06","243.27K","-6.57%"
"12/16/2025","6.70","6.70","6.70","6.70","3.68K","-2.62%"
"12/15/2025","6.88","6.88","6.88","6.88","1.17K","0.00%"
"12/12/2025","6.88","6.86","6.88","6.78","4.07K","1.18%"
"12/11/2025","6.80","6.76","6.88","6.76","3.81K","0.59%"
"12/10/2025","6.76","6.74","6.76","6.74","8.82K","0.90%"
"12/09/2025","6.70","6.60","6.72","6.58","23.69K","-2.05%"
"12/08/2025","6.84","6.84","6.84","6.84","2.60K","-0.58%"
"12/05/2025","6.88","6.88","6.88","6.88","1.54K","-0.58%"
"12/04/2025","6.92","6.92","6.92","6.92","0.03K","2.37%"
"12/03/2025","6.76","6.76","6.78","6.76","10.13K","0.00%"
"12/02/2025","6.76","6.76","6.76","6.76","2.39K","0.00%"
"12/01/2025","6.76","6.70","6.76","6.70","9.74K","0.60%"
"11/28/2025","6.72","6.86","6.86","6.72","2.57K","-1.18%"
"11/27/2025","6.80","6.78","6.80","6.78","17.32K","0.00%"
"11/26/2025","6.80","6.80","6.84","6.80","0.65K","0.00%"
"11/25/2025","6.80","6.88","6.88","6.80","4.17K","0.00%"
"11/24/2025","6.80","6.80","6.80","6.80","170.65K","0.89%"
"11/21/2025","6.74","6.88","6.88","6.74","4.95K","-2.03%"
"11/20/2025","6.88","6.88","6.88","6.88","0.10K","1.78%"
"11/19/2025","6.76","6.62","6.76","6.62","3.61K","2.11%"
"11/18/2025","6.62","6.62","6.62","6.62","","0.00%"
"11/17/2025","6.62","6.62","6.62","6.62","","0.00%"
"11/14/2025","6.62","6.78","6.80","6.62","0.53K","0.00%"
"11/13/2025","6.62","6.52","6.62","6.52","7.19K","1.85%"
"11/12/2025","6.50","6.78","6.78","6.50","4.37K","-2.11%"
"11/11/2025","6.64","6.64","6.64","6.64","0.40K","-2.06%"
"11/10/2025","6.78","6.80","6.80","6.78","4.03K","2.73%"
"11/07/2025","6.60","6.78","6.78","6.60","15.17K","-0.90%"
"11/06/2025","6.66","6.84","6.84","6.66","71.06K","-0.30%"
"11/05/2025","6.68","6.72","6.72","6.68","11.60K","0.00%"
"11/04/2025","6.68","6.54","6.70","6.54","40.06K","1.83%"
"11/03/2025","6.56","6.66","6.66","6.56","1.12K","-1.50%"
"10/31/2025","6.66","6.50","6.66","6.50","1.47K","0.30%"
"10/30/2025","6.64","6.64","6.74","6.64","15.89K","-0.30%"
"10/29/2025","6.66","6.60","6.78","6.60","11.56K","3.42%"
"10/28/2025","6.44","6.50","6.56","6.44","0.16K","0.00%"
"10/27/2025","6.44","6.50","6.50","6.44","4.12K","-0.92%"
"10/24/2025","6.50","6.46","6.50","6.46","1.84K","0.62%"
"10/23/2025","6.46","6.46","6.48","6.44","5.53K","0.31%"
"10/22/2025","6.44","6.36","6.44","6.36","3.54K","0.31%"
"10/21/2025","6.42","6.40","6.42","6.40","0.09K","0.94%"
"10/20/2025","6.36","6.34","6.36","6.32","2.52K","-1.24%"
"10/17/2025","6.44","6.40","6.44","6.40","1.20K","2.88%"
"10/16/2025","6.26","6.26","6.26","6.26","0.06K","0.00%"
"10/15/2025","6.26","6.18","6.40","6.18","6.20K","-3.40%"
